Timestamp,Temperature,Humidity
9:20:54 | 6-5-2024,22.86,50.80
9:21:54 | 6-5-2024,22.88,51.07
9:22:54 | 6-5-2024,22.90,51.43
9:23:54 | 6-5-2024,22.87,51.40
9:24:54 | 6-5-2024,22.96,49.77
9:25:54 | 6-5-2024,22.94,50.31
9:26:54 | 6-5-2024,22.92,49.55
9:27:54 | 6-5-2024,22.94,49.78
9:28:54 | 6-5-2024,22.96,49.64
9:29:54 | 6-5-2024,22.94,50.21
9:30:54 | 6-5-2024,23.02,50.73
9:31:54 | 6-5-2024,23.04,50.28
9:32:54 | 6-5-2024,23.09,49.98
9:33:54 | 6-5-2024,23.08,49.73
9:34:54 | 6-5-2024,23.09,49.66
9:35:54 | 6-5-2024,23.10,49.53
9:36:54 | 6-5-2024,23.13,49.76
9:37:54 | 6-5-2024,23.16,49.57
9:38:54 | 6-5-2024,23.19,49.66
9:39:54 | 6-5-2024,23.23,49.03
9:40:54 | 6-5-2024,23.25,48.97
9:41:54 | 6-5-2024,23.27,49.23
9:42:54 | 6-5-2024,23.26,48.65
9:43:54 | 6-5-2024,23.25,48.43
9:44:54 | 6-5-2024,23.21,48.72
9:45:54 | 6-5-2024,23.21,48.67
9:46:54 | 6-5-2024,23.23,48.90
9:47:54 | 6-5-2024,23.23,48.64
9:48:54 | 6-5-2024,23.24,49.00
9:49:54 | 6-5-2024,23.27,48.73
9:50:54 | 6-5-2024,23.29,48.79
9:51:54 | 6-5-2024,23.29,48.71
9:52:54 | 6-5-2024,23.32,48.38
9:53:54 | 6-5-2024,23.30,48.55
9:54:54 | 6-5-2024,23.32,48.32
9:55:54 | 6-5-2024,23.32,48.39
9:56:54 | 6-5-2024,23.35,48.26
9:57:54 | 6-5-2024,23.33,48.24
9:58:54 | 6-5-2024,23.31,48.51
9:59:54 | 6-5-2024,23.35,48.57
10:0:54 | 6-5-2024,23.38,48.48
10:1:54 | 6-5-2024,23.39,48.52
10:2:54 | 6-5-2024,23.43,48.66
10:3:54 | 6-5-2024,23.45,48.33
10:4:54 | 6-5-2024,23.49,48.26
10:5:54 | 6-5-2024,23.51,48.30
10:6:54 | 6-5-2024,23.53,48.13
10:7:54 | 6-5-2024,23.54,48.20
10:8:54 | 6-5-2024,23.57,48.13
10:9:54 | 6-5-2024,23.57,48.16
10:10:54 | 6-5-2024,23.56,48.17
10:11:54 | 6-5-2024,23.60,48.15
10:12:54 | 6-5-2024,23.61,48.28
10:13:54 | 6-5-2024,23.58,48.17
10:14:54 | 6-5-2024,23.60,48.07
10:15:54 | 6-5-2024,23.60,48.16
10:16:54 | 6-5-2024,23.61,48.05
10:17:54 | 6-5-2024,23.63,48.13
10:18:54 | 6-5-2024,23.62,48.11
10:19:54 | 6-5-2024,23.62,48.08
10:20:54 | 6-5-2024,23.61,48.14
10:21:54 | 6-5-2024,23.63,48.22
10:22:54 | 6-5-2024,23.64,48.25
10:23:54 | 6-5-2024,23.62,48.25
10:24:54 | 6-5-2024,23.65,48.22
10:25:54 | 6-5-2024,23.68,48.00
10:26:54 | 6-5-2024,23.65,48.16
10:27:54 | 6-5-2024,23.69,48.09
10:28:54 | 6-5-2024,23.66,48.04
10:29:54 | 6-5-2024,23.66,48.16
10:30:54 | 6-5-2024,23.66,48.17
10:31:54 | 6-5-2024,23.67,48.12
10:32:54 | 6-5-2024,23.68,48.02
10:33:54 | 6-5-2024,23.65,48.13
10:34:54 | 6-5-2024,23.65,48.21
10:35:54 | 6-5-2024,23.66,48.17
10:36:54 | 6-5-2024,23.68,48.20
10:37:54 | 6-5-2024,23.68,48.20
10:38:54 | 6-5-2024,23.69,48.02
10:39:54 | 6-5-2024,23.70,48.12
10:40:54 | 6-5-2024,23.73,47.99
10:41:54 | 6-5-2024,23.73,48.07
