Timestamp,Weight
9:24:8 | 6-5-2024,277.15
12:44:31 | 6-5-2024,131.32
13:18:16 | 6-5-2024,18.98
13:22:31 | 6-5-2024,180.44
14:5:35 | 6-5-2024,142.41
14:7:13 | 6-5-2024,4.44
14:58:20 | 6-5-2024,1017.95
15:4:59 | 6-5-2024,184.96
15:12:54 | 6-5-2024,18.40
15:12:57 | 6-5-2024,23.76
15:13:0 | 6-5-2024,15.69
15:13:1 | 6-5-2024,13.56
19:23:50 | 6-5-2024,705.83
20:3:29 | 6-5-2024,401.32
20:36:33 | 6-5-2024,243.70
21:13:57 | 6-5-2024,12.40
22:32:37 | 6-5-2024,579.50
22:34:56 | 6-5-2024,12.15
22:35:6 | 6-5-2024,4.80
22:55:9 | 6-5-2024,2.90
23:6:55 | 6-5-2024,3.04
23:58:6 | 6-5-2024,136.29
8:32:13 | 7-5-2024,181.61
9:15:32 | 7-5-2024,199.63
