Timestamp,Temperature,Humidity
11:45:0 | 9-5-2024,19.81,53.97
11:46:0 | 9-5-2024,19.75,54.24
11:47:0 | 9-5-2024,19.68,54.45
11:48:0 | 9-5-2024,19.61,54.73
11:49:0 | 9-5-2024,19.56,55.01
11:50:0 | 9-5-2024,19.52,55.08
11:51:0 | 9-5-2024,19.47,54.97
11:52:0 | 9-5-2024,19.44,54.97
11:53:0 | 9-5-2024,19.43,54.87
11:54:0 | 9-5-2024,19.40,54.99
11:55:0 | 9-5-2024,19.37,54.87
11:56:0 | 9-5-2024,19.36,54.70
11:57:0 | 9-5-2024,19.34,54.71
11:58:0 | 9-5-2024,19.35,54.82
11:59:0 | 9-5-2024,19.31,54.92
12:0:0 | 9-5-2024,19.29,55.09
12:1:0 | 9-5-2024,19.29,55.23
12:2:0 | 9-5-2024,19.30,55.11
12:3:0 | 9-5-2024,19.27,55.15
12:4:0 | 9-5-2024,19.29,56.10
12:5:0 | 9-5-2024,19.37,56.52
12:6:0 | 9-5-2024,19.39,56.65
12:7:0 | 9-5-2024,19.34,56.38
12:8:0 | 9-5-2024,19.32,56.16
12:9:0 | 9-5-2024,19.34,56.33
12:10:0 | 9-5-2024,19.39,56.54
12:11:0 | 9-5-2024,19.39,55.74
12:12:0 | 9-5-2024,19.36,55.83
12:13:0 | 9-5-2024,19.36,55.92
12:14:0 | 9-5-2024,19.44,58.02
12:15:0 | 9-5-2024,19.42,55.92
12:16:0 | 9-5-2024,19.44,55.90
12:17:0 | 9-5-2024,19.44,55.84
12:18:0 | 9-5-2024,19.50,56.02
12:19:0 | 9-5-2024,19.51,55.67
12:20:0 | 9-5-2024,19.58,57.36
12:21:0 | 9-5-2024,19.58,55.84
12:22:0 | 9-5-2024,19.61,56.04
12:23:0 | 9-5-2024,19.61,55.66
12:24:0 | 9-5-2024,19.60,56.00
12:25:0 | 9-5-2024,19.64,55.83
12:26:0 | 9-5-2024,19.65,55.48
12:27:0 | 9-5-2024,19.66,55.70
12:28:0 | 9-5-2024,19.69,55.74
12:29:0 | 9-5-2024,19.73,55.48
12:30:0 | 9-5-2024,19.75,55.40
12:31:0 | 9-5-2024,19.76,55.54
12:32:0 | 9-5-2024,19.75,55.24
12:33:0 | 9-5-2024,19.79,55.68
12:34:0 | 9-5-2024,19.78,55.03
12:35:0 | 9-5-2024,19.76,54.90
12:36:0 | 9-5-2024,19.77,55.59
12:37:0 | 9-5-2024,19.77,54.68
12:38:0 | 9-5-2024,19.75,54.68
12:39:0 | 9-5-2024,19.78,54.83
12:40:0 | 9-5-2024,19.80,54.82
12:41:0 | 9-5-2024,19.83,54.35
12:42:0 | 9-5-2024,19.83,54.89
12:43:0 | 9-5-2024,19.84,54.21
12:44:0 | 9-5-2024,19.83,54.30
12:45:0 | 9-5-2024,19.86,54.31
12:46:0 | 9-5-2024,19.86,54.15
12:47:0 | 9-5-2024,19.86,55.09
12:48:0 | 9-5-2024,19.87,54.75
12:49:0 | 9-5-2024,19.86,54.13
12:50:0 | 9-5-2024,19.84,53.75
12:51:0 | 9-5-2024,19.90,53.77
12:52:0 | 9-5-2024,19.89,53.49
12:53:0 | 9-5-2024,19.85,53.35
12:54:0 | 9-5-2024,19.87,53.82
12:55:0 | 9-5-2024,19.85,53.50
12:56:0 | 9-5-2024,19.84,54.16
12:57:0 | 9-5-2024,19.88,53.62
12:58:0 | 9-5-2024,19.87,53.58
12:59:0 | 9-5-2024,19.86,53.54
13:0:0 | 9-5-2024,19.87,53.46
13:1:0 | 9-5-2024,19.87,53.30
13:2:0 | 9-5-2024,19.87,53.26
13:3:0 | 9-5-2024,19.91,53.13
13:4:0 | 9-5-2024,19.90,53.36
13:5:0 | 9-5-2024,19.91,53.17
13:6:0 | 9-5-2024,19.90,53.14
13:7:0 | 9-5-2024,19.92,53.85
13:8:0 | 9-5-2024,19.88,53.22
13:9:0 | 9-5-2024,19.92,54.29
13:10:0 | 9-5-2024,19.92,54.15
13:11:0 | 9-5-2024,19.94,53.54
13:12:0 | 9-5-2024,19.95,53.33
13:13:0 | 9-5-2024,19.95,53.33
13:14:0 | 9-5-2024,19.96,53.38
13:15:0 | 9-5-2024,19.93,53.20
13:16:0 | 9-5-2024,19.95,53.47
13:17:0 | 9-5-2024,19.96,53.26
13:18:0 | 9-5-2024,19.96,53.02
13:19:0 | 9-5-2024,19.99,53.44
13:20:0 | 9-5-2024,19.96,53.23
13:21:0 | 9-5-2024,19.99,52.91
13:22:0 | 9-5-2024,19.98,53.34
13:23:0 | 9-5-2024,20.01,52.64
13:24:0 | 9-5-2024,20.05,53.58
13:25:0 | 9-5-2024,20.06,52.69
13:26:0 | 9-5-2024,20.07,52.78
13:27:0 | 9-5-2024,20.08,52.87
13:28:0 | 9-5-2024,20.08,52.55
13:29:0 | 9-5-2024,20.09,52.54
13:30:0 | 9-5-2024,20.06,52.64
13:31:0 | 9-5-2024,20.04,52.80
13:32:0 | 9-5-2024,20.06,53.04
13:33:0 | 9-5-2024,20.07,52.87
13:34:0 | 9-5-2024,20.09,52.97
13:35:0 | 9-5-2024,20.06,52.81
13:36:0 | 9-5-2024,20.06,53.36
13:37:0 | 9-5-2024,20.07,53.12
13:38:0 | 9-5-2024,20.09,53.12
13:39:0 | 9-5-2024,20.09,53.05
13:40:0 | 9-5-2024,20.13,52.80
13:41:0 | 9-5-2024,20.13,53.05
13:42:0 | 9-5-2024,20.13,52.66
13:43:0 | 9-5-2024,20.16,52.67
13:44:0 | 9-5-2024,20.15,52.79
13:45:0 | 9-5-2024,20.17,52.53
13:46:0 | 9-5-2024,20.20,53.49
13:47:0 | 9-5-2024,20.22,52.47
13:48:0 | 9-5-2024,20.24,52.66
13:49:0 | 9-5-2024,20.18,52.78
13:50:0 | 9-5-2024,20.17,52.74
13:51:0 | 9-5-2024,20.21,52.12
13:52:0 | 9-5-2024,20.21,52.31
13:53:0 | 9-5-2024,20.23,52.32
13:54:0 | 9-5-2024,20.23,52.54
13:55:0 | 9-5-2024,20.23,52.41
13:56:0 | 9-5-2024,20.23,53.21
13:57:0 | 9-5-2024,20.30,52.91
13:58:0 | 9-5-2024,20.30,52.82
13:59:0 | 9-5-2024,20.30,52.12
14:0:0 | 9-5-2024,20.30,51.99
14:1:0 | 9-5-2024,20.32,51.17
14:2:0 | 9-5-2024,20.32,51.70
14:3:0 | 9-5-2024,20.33,51.44
14:4:0 | 9-5-2024,20.34,51.31
14:5:0 | 9-5-2024,20.34,51.60
14:6:0 | 9-5-2024,20.35,51.93
14:7:0 | 9-5-2024,20.32,52.15
14:8:0 | 9-5-2024,20.37,52.68
14:9:0 | 9-5-2024,20.33,51.84
14:10:0 | 9-5-2024,20.38,51.44
14:11:0 | 9-5-2024,20.38,51.77
14:12:0 | 9-5-2024,20.38,52.24
14:13:0 | 9-5-2024,20.40,52.14
14:14:0 | 9-5-2024,20.42,51.56
14:15:0 | 9-5-2024,20.43,51.35
14:16:0 | 9-5-2024,20.41,51.23
14:17:0 | 9-5-2024,20.42,51.51
14:18:0 | 9-5-2024,20.42,51.45
14:19:0 | 9-5-2024,20.41,51.18
14:20:0 | 9-5-2024,20.41,51.05
14:21:0 | 9-5-2024,20.39,51.43
14:22:0 | 9-5-2024,20.37,51.68
14:23:0 | 9-5-2024,20.41,51.72
14:24:0 | 9-5-2024,20.39,51.89
14:25:0 | 9-5-2024,20.41,51.87
14:26:0 | 9-5-2024,20.40,51.85
14:27:0 | 9-5-2024,20.41,51.83
14:28:0 | 9-5-2024,20.41,51.93
14:29:0 | 9-5-2024,20.41,51.83
14:30:0 | 9-5-2024,20.41,51.65
14:31:0 | 9-5-2024,20.40,51.79
14:32:0 | 9-5-2024,20.42,51.64
14:33:0 | 9-5-2024,20.45,51.56
14:34:0 | 9-5-2024,20.46,51.50
14:35:0 | 9-5-2024,20.46,51.42
14:36:0 | 9-5-2024,20.45,51.56
14:37:0 | 9-5-2024,20.44,51.93
14:38:0 | 9-5-2024,20.43,51.50
14:39:0 | 9-5-2024,20.45,51.21
14:40:0 | 9-5-2024,20.45,51.03
14:41:0 | 9-5-2024,20.44,51.15
14:42:0 | 9-5-2024,20.46,51.07
14:43:0 | 9-5-2024,20.42,51.13
14:44:0 | 9-5-2024,20.42,51.02
14:45:0 | 9-5-2024,20.41,51.42
14:46:0 | 9-5-2024,20.42,51.33
14:47:0 | 9-5-2024,20.45,51.40
14:48:0 | 9-5-2024,20.42,51.23
14:53:32 | 9-5-2024,20.30,52.25
14:54:0 | 9-5-2024,20.30,51.61
14:55:0 | 9-5-2024,20.33,51.80
14:56:0 | 9-5-2024,20.34,51.30
14:57:0 | 9-5-2024,20.33,51.34
14:58:0 | 9-5-2024,20.29,51.47
14:59:0 | 9-5-2024,20.31,51.63
15:0:0 | 9-5-2024,20.36,51.57
15:1:0 | 9-5-2024,20.38,51.73
15:2:0 | 9-5-2024,20.38,51.80
15:3:0 | 9-5-2024,20.40,51.39
15:4:0 | 9-5-2024,20.43,51.36
15:5:0 | 9-5-2024,20.41,51.50
15:6:0 | 9-5-2024,20.45,51.49
15:7:0 | 9-5-2024,20.45,51.43
15:8:0 | 9-5-2024,20.47,51.46
15:9:0 | 9-5-2024,20.46,51.37
15:10:0 | 9-5-2024,20.48,51.31
15:11:0 | 9-5-2024,20.49,51.52
15:12:0 | 9-5-2024,20.49,51.31
15:13:0 | 9-5-2024,20.50,51.41
15:14:0 | 9-5-2024,20.49,51.19
15:15:0 | 9-5-2024,20.48,51.23
15:16:0 | 9-5-2024,20.48,51.42
15:17:0 | 9-5-2024,20.50,51.51
15:18:0 | 9-5-2024,20.51,51.30
15:19:0 | 9-5-2024,20.48,51.23
15:20:0 | 9-5-2024,20.48,51.24
15:21:0 | 9-5-2024,20.44,51.20
15:22:0 | 9-5-2024,20.42,51.07
15:23:0 | 9-5-2024,20.37,51.31
15:24:0 | 9-5-2024,20.42,51.68
15:25:0 | 9-5-2024,20.45,51.68
15:26:0 | 9-5-2024,20.48,51.47
15:27:0 | 9-5-2024,20.47,51.35
15:28:0 | 9-5-2024,20.46,51.48
15:29:0 | 9-5-2024,20.46,51.49
15:30:0 | 9-5-2024,20.43,51.92
15:31:0 | 9-5-2024,20.45,51.55
15:32:0 | 9-5-2024,20.51,51.86
15:33:0 | 9-5-2024,20.47,51.11
15:34:0 | 9-5-2024,20.45,51.15
15:35:0 | 9-5-2024,20.40,51.26
15:36:0 | 9-5-2024,20.41,51.34
15:37:0 | 9-5-2024,20.41,51.46
15:38:0 | 9-5-2024,20.43,51.60
15:39:0 | 9-5-2024,20.42,51.66
15:40:0 | 9-5-2024,20.42,51.36
15:41:0 | 9-5-2024,20.42,51.52
15:42:0 | 9-5-2024,20.43,51.51
15:43:0 | 9-5-2024,20.45,51.44
15:44:0 | 9-5-2024,20.42,51.38
15:45:0 | 9-5-2024,20.43,51.16
15:46:0 | 9-5-2024,20.42,50.96
15:47:0 | 9-5-2024,20.38,51.18
15:48:0 | 9-5-2024,20.38,51.80
15:49:0 | 9-5-2024,20.39,51.64
15:50:0 | 9-5-2024,20.40,51.95
15:51:0 | 9-5-2024,20.40,51.47
15:52:0 | 9-5-2024,20.37,51.91
15:53:0 | 9-5-2024,20.33,51.94
15:54:0 | 9-5-2024,20.30,51.45
15:55:0 | 9-5-2024,20.26,51.77
15:56:0 | 9-5-2024,20.22,52.00
15:57:0 | 9-5-2024,20.23,52.08
15:58:0 | 9-5-2024,20.20,52.13
15:59:0 | 9-5-2024,20.18,52.29
16:0:0 | 9-5-2024,20.19,52.63
16:1:0 | 9-5-2024,20.18,52.17
16:2:0 | 9-5-2024,20.18,52.40
16:3:0 | 9-5-2024,20.15,52.27
16:4:0 | 9-5-2024,20.17,53.35
16:5:0 | 9-5-2024,20.16,52.26
16:6:0 | 9-5-2024,20.11,52.32
16:7:0 | 9-5-2024,20.11,52.43
16:8:0 | 9-5-2024,20.12,52.51
16:9:0 | 9-5-2024,20.10,52.47
16:10:0 | 9-5-2024,20.08,52.41
16:11:0 | 9-5-2024,20.03,52.56
16:12:0 | 9-5-2024,20.06,52.62
16:12:59 | 9-5-2024,20.05,52.74
16:14:0 | 9-5-2024,20.07,52.91
16:15:0 | 9-5-2024,20.03,52.87
16:16:0 | 9-5-2024,20.03,52.87
16:16:59 | 9-5-2024,20.04,52.88
16:18:0 | 9-5-2024,20.01,52.89
16:19:0 | 9-5-2024,20.00,53.10
16:20:0 | 9-5-2024,20.01,53.39
16:20:59 | 9-5-2024,19.99,53.30
16:22:0 | 9-5-2024,19.98,53.43
16:23:0 | 9-5-2024,19.99,53.29
16:24:0 | 9-5-2024,19.98,53.26
16:24:59 | 9-5-2024,19.98,53.26
16:26:0 | 9-5-2024,19.97,53.26
16:27:0 | 9-5-2024,19.95,53.33
16:28:0 | 9-5-2024,19.94,53.37
16:28:59 | 9-5-2024,19.93,53.60
16:30:0 | 9-5-2024,19.92,53.55
16:31:0 | 9-5-2024,19.94,54.19
16:32:0 | 9-5-2024,19.94,53.43
16:32:59 | 9-5-2024,19.93,53.44
16:34:0 | 9-5-2024,19.94,53.58
16:35:0 | 9-5-2024,19.94,53.64
16:36:0 | 9-5-2024,19.90,53.50
16:36:59 | 9-5-2024,19.89,53.32
16:38:0 | 9-5-2024,19.86,53.76
